zip_id,email,MOB,WOB,FTE,FY19,FY20,applied
665201,l1bclOczoo@gmail.com,NA,1,0,37665.26459368911,28792.498342188184,0
665201,A5BJdyr7ee@gmail.com,1,0,NA,90925.6454453704,NA,1
665201,6cK5zp25yM@inbox.com,1,1,75,317375.20396063157,247614.90778657256,0
665201,YqJ0LaxGWm@mail.com,0,0,77,493244.56154046056,511119.1479004655,0
665201,6AzVs4uOHz@inbox.com,1,0,55,NA,136078.44723681567,0
665201,YodSzjt9lf@gmail.com,0,1,35,65414.37935121491,60241.430536803964,0
665201,QpBdrOkqK8@gmail.com,0,0,46,147730.91960373934,122292.13289440109,1
665201,hppFfD0Ywh@gmail.com,1,0,65,242942.0537993942,209709.91092753116,0
665201,BCg8kDWgpM@inbox.com,1,0,50,138759.8676910533,111529.11731876356,0
665201,F2VzWBFPbq@mail.com,0,0,57,265572.57185660314,202154.5566512694,1
665201,bH2Hpzilv6@gmail.com,0,1,47,135879.93154833736,92687.0379732289,0
665201,sqewcQQHRm@outlook.com,1,0,12,37024.63880466768,31453.81244284856,0
665201,wEWoWGjsXE@outlook.com,0,NA,NA,99363.89629562493,97055.62792830834,0
665201,eiGtiwCPvu@gmail.com,1,0,86,500129.2109351342,314931.69951836334,0
665201,nwKZQjagPt@gmail.com,0,0,37,75953.18237463439,101856.16065575674,0
665201,etY7E5DXp8@gmail.com,1,0,74,367930.59839689074,281518.6847907525,0
665201,69Dtu93zRg@inbox.com,0,NA,96,824324.6662525281,944721.3049104144,0
665201,H7fdmwf8W8@gmail.com,0,0,50,159797.06593795255,184388.09089314262,0
665201,QCJPUkPDT4@gmail.com,NA,0,101,871546.854918017,776468.1240309603,1
665201,Qya79hGQ3l@inbox.com,1,0,86,453987.263643864,NA,0
665201,xyNeiAryAO@outlook.com,0,0,30,NA,72610.25213886,1
665201,puo1IgwkQR@gmail.com,0,1,43,109218.60549208746,73848.62516585716,0
665201,2JMOkfHjiX@gmail.com,0,0,59,230807.35085658001,260707.29724606202,0
665201,iApf1LGqH6@gmail.com,1,0,22,44936.932482518336,37237.42820804921,0
665201,5DjPB6fP3M@outlook.com,0,0,29,61708.511289798385,74875.35486280001,0
665201,ZQnEda29vC@inbox.com,NA,1,70,243144.53078882134,202522.58144802405,0
665201,Cl4vd52d2J@gmail.com,NA,1,NA,660364.0004956832,459457.32954227226,0
665201,UNBrl4OMIY@gmail.com,0,0,26,62738.44519650984,55259.015135425754,0
665201,JwR3F7Y0QU@gmail.com,0,0,66,408237.07993419404,305905.3314870216,0
665201,6lmIREs4BF@gmail.com,0,1,10,37814.48758262601,29675.760858188616,0
665201,tk6gKWZ8aO@outlook.com,0,0,48,148979.2428640078,134374.8802489075,0
665201,q30dKeJE3r@gmail.com,0,0,48,162374.68560661527,133895.40079810153,0
665201,H3RjoTPRro@gmail.com,0,0,8,43869.41259475695,43828.79840363926,0
665201,roYN3MnhPY@outlook.com,0,0,54,225011.22515557453,164295.0292742412,0
665201,Gd4IWkFiql@outlook.com,0,1,108,1060977.7290087363,842458.4338789468,1
665201,9X2yEp7rIi@inbox.com,0,0,93,808626.6710129754,779032.2420499505,1
665201,novdrbde6j@gmail.com,0,0,80,582340.7016744869,450282.81813684746,1
665201,IvhPCegxot@gmail.com,1,0,81,391644.16986097675,492152.367113645,0
665201,aW7Ov3aAPt@gmail.com,1,1,50,126153.80974544118,NA,0
665201,NCgz1acYPi@gmail.com,0,0,76,536935.707430558,421288.43513802945,0
665201,aePd8k1gth@gmail.com,0,0,NA,335262.17264429893,295126.13935679273,0
665201,1EELxgqIt7@gmail.com,1,0,4,36892.54634408878,29091.098312858354,0
665201,Qj1BnW0nLY@inbox.com,0,1,69,217810.70985515785,NA,0
