"zipCode","email","MOB","WOB","FTE","FY19","FY20","applied","size","status"
665201,"l1bclOczoo@gmail.com",NA,1,0,37665.2645936891,28792.4983421882,0,1214,"rural"
665201,"A5BJdyr7ee@gmail.com",1,0,NA,90925.6454453704,NA,1,1214,"rural"
665201,"6cK5zp25yM@inbox.com",1,1,75,317375.203960632,247614.907786573,0,1214,"rural"
665201,"YqJ0LaxGWm@mail.com",0,0,77,493244.561540461,511119.147900466,0,1214,"rural"
665201,"6AzVs4uOHz@inbox.com",1,0,55,NA,136078.447236816,0,1214,"rural"
665201,"YodSzjt9lf@gmail.com",0,1,35,65414.3793512149,60241.430536804,0,1214,"rural"
665201,"QpBdrOkqK8@gmail.com",0,0,46,147730.919603739,122292.132894401,1,1214,"rural"
665201,"hppFfD0Ywh@gmail.com",1,0,65,242942.053799394,209709.910927531,0,1214,"rural"
665201,"BCg8kDWgpM@inbox.com",1,0,50,138759.867691053,111529.117318764,0,1214,"rural"
665201,"F2VzWBFPbq@mail.com",0,0,57,265572.571856603,202154.556651269,1,1214,"rural"
665201,"bH2Hpzilv6@gmail.com",0,1,47,135879.931548337,92687.0379732289,0,1214,"rural"
665201,"sqewcQQHRm@outlook.com",1,0,12,37024.6388046677,31453.8124428486,0,1214,"rural"
665201,"wEWoWGjsXE@outlook.com",0,NA,NA,99363.8962956249,97055.6279283083,0,1214,"rural"
665201,"eiGtiwCPvu@gmail.com",1,0,86,500129.210935134,314931.699518363,0,1214,"rural"
665201,"nwKZQjagPt@gmail.com",0,0,37,75953.1823746344,101856.160655757,0,1214,"rural"
665201,"etY7E5DXp8@gmail.com",1,0,74,367930.598396891,281518.684790752,0,1214,"rural"
665201,"69Dtu93zRg@inbox.com",0,NA,96,824324.666252528,944721.304910414,0,1214,"rural"
665201,"H7fdmwf8W8@gmail.com",0,0,50,159797.065937953,184388.090893143,0,1214,"rural"
665201,"QCJPUkPDT4@gmail.com",NA,0,101,871546.854918017,776468.12403096,1,1214,"rural"
665201,"Qya79hGQ3l@inbox.com",1,0,86,453987.263643864,NA,0,1214,"rural"
665201,"xyNeiAryAO@outlook.com",0,0,30,NA,72610.25213886,1,1214,"rural"
665201,"puo1IgwkQR@gmail.com",0,1,43,109218.605492087,73848.6251658572,0,1214,"rural"
665201,"2JMOkfHjiX@gmail.com",0,0,59,230807.35085658,260707.297246062,0,1214,"rural"
665201,"iApf1LGqH6@gmail.com",1,0,22,44936.9324825183,37237.4282080492,0,1214,"rural"
665201,"5DjPB6fP3M@outlook.com",0,0,29,61708.5112897984,74875.3548628,0,1214,"rural"
665201,"ZQnEda29vC@inbox.com",NA,1,70,243144.530788821,202522.581448024,0,1214,"rural"
665201,"Cl4vd52d2J@gmail.com",NA,1,NA,660364.000495683,459457.329542272,0,1214,"rural"
665201,"UNBrl4OMIY@gmail.com",0,0,26,62738.4451965098,55259.0151354258,0,1214,"rural"
665201,"JwR3F7Y0QU@gmail.com",0,0,66,408237.079934194,305905.331487022,0,1214,"rural"
665201,"6lmIREs4BF@gmail.com",0,1,10,37814.487582626,29675.7608581886,0,1214,"rural"
665201,"tk6gKWZ8aO@outlook.com",0,0,48,148979.242864008,134374.880248907,0,1214,"rural"
665201,"q30dKeJE3r@gmail.com",0,0,48,162374.685606615,133895.400798102,0,1214,"rural"
665201,"H3RjoTPRro@gmail.com",0,0,8,43869.412594757,43828.7984036393,0,1214,"rural"
665201,"roYN3MnhPY@outlook.com",0,0,54,225011.225155575,164295.029274241,0,1214,"rural"
665201,"Gd4IWkFiql@outlook.com",0,1,108,1060977.72900874,842458.433878947,1,1214,"rural"
665201,"9X2yEp7rIi@inbox.com",0,0,93,808626.671012975,779032.24204995,1,1214,"rural"
665201,"novdrbde6j@gmail.com",0,0,80,582340.701674487,450282.818136847,1,1214,"rural"
665201,"IvhPCegxot@gmail.com",1,0,81,391644.169860977,492152.367113645,0,1214,"rural"
665201,"aW7Ov3aAPt@gmail.com",1,1,50,126153.809745441,NA,0,1214,"rural"
665201,"NCgz1acYPi@gmail.com",0,0,76,536935.707430558,421288.43513803,0,1214,"rural"
665201,"aePd8k1gth@gmail.com",0,0,NA,335262.172644299,295126.139356793,0,1214,"rural"
665201,"1EELxgqIt7@gmail.com",1,0,4,36892.5463440888,29091.0983128584,0,1214,"rural"
665201,"Qj1BnW0nLY@inbox.com",0,1,69,217810.709855158,NA,0,1214,"rural"
665201,"xopQ0tpc2g@gmail.com",0,1,40,91872.143586189,64351.5345506547,0,1214,"rural"
665201,"UkzeH62kjI@outlook.com",1,0,NA,51838.1831622164,51640.5079367451,1,1214,"rural"
665201,"Cv0KSGzYWN@gmail.com",1,0,44,108196.926912227,82669.5640932266,0,1214,"rural"
665201,"E5osJTEXko@gmail.com",0,0,89,687382.174749524,820651.709311184,1,1214,"rural"
665201,"IAnE6bEiGi@gmail.com",NA,0,18,52717.0384789852,50783.4647971591,0,1214,"rural"
665201,"imL5jgXfE1@mail.com",1,0,59,221609.602596518,166251.320969303,1,1214,"rural"
665201,"BTq1GyT2Yp@gmail.com",0,1,97,879995.30283484,670054.030829415,0,1214,"rural"
665201,"HyoYEq2sF2@outlook.com",0,1,76,353031.433605384,311524.406036963,0,1214,"rural"
665201,"LxhmaVzMDa@gmail.com",0,0,67,356547.445427064,301810.869048223,0,1214,"rural"
665201,"DnJkiFqXzx@inbox.com",0,1,98,909492.163555086,669199.563906349,0,1214,"rural"
665201,"dFekLhoTdN@gmail.com",1,NA,89,518879.328918229,459336.514292022,0,1214,"rural"
665201,"6U0KRSDvRR@outlook.com",1,0,99,734782.570949755,741934.847704213,1,1214,"rural"
665201,"praDsMjOdj@gmail.com",0,1,35,76480.8190798161,51899.2960831017,0,1214,"rural"
665201,"viX8NPlUSy@mail.com",1,1,NA,538088.845669409,NA,0,1214,"rural"
665201,"74Dkf0t2zb@inbox.com",0,0,20,55537.9016669385,48277.2941117735,0,1214,"rural"
665201,"f5lLuAXaIG@gmail.com",1,1,47,111558.708058413,87640.6062795779,0,1214,"rural"
665201,"WskQVB9C6F@gmail.com",0,0,77,NA,426729.75122635,0,1214,"rural"
665201,"0SactJpAbG@inbox.com",0,0,NA,86926.2533970811,83455.667790526,0,1214,"rural"
665201,"KI5nyKLPS5@outlook.com",0,1,90,545504.203753284,474034.747220704,1,1214,"rural"
665201,"54lVlDv5JA@inbox.com",0,0,99,1157540.90981745,963717.329887554,1,1214,"rural"
665201,"FWWIN7lLjt@gmail.com",1,1,96,664248.764237751,558650.359655275,0,1214,"rural"
665201,"b80eWs9NQe@gmail.com",0,0,20,54153.4273653933,45925.9232439999,1,1214,"rural"
665201,"cUfTh6SFCx@outlook.com",NA,1,74,327726.448740383,315849.080766064,0,1214,"rural"
665201,"N7XbYVimlR@gmail.com",0,0,87,770914.08487673,619346.854458923,0,1214,"rural"
665201,"SeQOJVlJU1@gmail.com",0,0,62,262677.693280067,270334.79100897,0,1214,"rural"
665201,"ao9O7HjyUV@gmail.com",NA,0,61,272261.539754623,268410.145477329,0,1214,"rural"
665201,"48ExfNlqQ2@gmail.com",NA,0,120,1541107.88081281,2165878.59434021,1,1214,"rural"
665201,"OmG60DVFur@gmail.com",1,0,109,1099739.36650569,842019.344677692,1,1214,"rural"
665201,"5YfqgolzPN@gmail.com",0,1,26,50254.1266733564,42851.3440524435,0,1214,"rural"
665201,"rJxdE8dYwz@outlook.com",0,0,84,597125.300710669,644444.051389287,0,1214,"rural"
665201,"bZlA0U94UF@mail.com",0,NA,48,140469.090170627,144400.940270399,0,1214,"rural"
665201,"qGNl0XIVNI@gmail.com",0,0,NA,NA,222838.05934513,0,1214,"rural"
665201,"zxBiQkOY97@mail.com",0,1,NA,607245.171362092,560903.447681743,0,1214,"rural"
665201,"gcfc6fD5b8@gmail.com",0,1,37,82391.2198264936,64999.7610661171,0,1214,"rural"
665201,"xJ7YSVR4gv@gmail.com",0,0,79,608703.902910439,538163.992880937,0,1214,"rural"
665201,"Mk3qVuVKzY@gmail.com",1,0,48,112360.359174823,107571.169529396,0,1214,"rural"
665201,"d797mrdQVZ@gmail.com",NA,0,49,150075.5616545,114791.660595387,0,1214,"rural"
665201,"TP3Th4NxO9@gmail.com",0,0,84,658398.9948879,NA,0,1214,"rural"
665201,"0IpJ6NTPmC@gmail.com",0,1,79,486373.756978414,356497.755571974,0,1214,"rural"
665201,"eH5tOLGJ4Y@gmail.com",1,0,69,235508.596113314,236668.445108847,1,1214,"rural"
665201,"hx9svwuC6R@gmail.com",0,0,85,NA,682639.764117866,1,1214,"rural"
665201,"1R64srfc6F@gmail.com",0,0,74,565450.59077424,426697.384145543,0,1214,"rural"
665201,"qCCPqr7YB2@outlook.com",0,0,28,66113.3364486749,62100.4820888837,0,1214,"rural"
665201,"LtjPUSwHFl@gmail.com",0,0,1,42731.6461126669,43611.1836739439,0,1214,"rural"
665201,"z0MletiZd3@gmail.com",0,0,67,NA,NA,0,1214,"rural"
665201,"v03uAMJu99@inbox.com",1,0,95,866412.907207873,393497.249882418,0,1214,"rural"
665201,"lp6O7mgNwC@gmail.com",NA,0,74,432444.971166669,461379.189411361,1,1214,"rural"
665201,"Zxlvwy7nTZ@gmail.com",0,0,78,682292.825638315,528936.781369448,1,1214,"rural"
665201,"rIotqGA8JH@inbox.com",0,0,37,92283.1812042178,83886.3432297768,0,1214,"rural"
665201,"FPF7u56wZo@gmail.com",0,0,31,64771.0874479616,65059.5420578317,1,1214,"rural"
665201,"WStl7Kf379@gmail.com",0,0,55,239704.553864075,NA,0,1214,"rural"
665201,"mwWvazbWzq@mail.com",0,1,58,162762.9624561,171912.413725296,0,1214,"rural"
